Stock,Date,Buy/Sell
MSFT,5/29/2019,1
MSFT,6/11/2019,1
MSFT,8/28/2019,1
MSFT,9/6/2019,1
MSFT,10/15/2019,1
MSFT,4/2/2020,1
MSFT,6/8/2020,1
MSFT,8/6/2020,1
MSFT,10/2/2020,1
MSFT,11/12/2020,1
MSFT,12/8/2020,1
MSFT,12/16/2020,1
MSFT,3/26/2019,1
MSFT,9/24/2019,1
MSFT,4/23/2020,1
MSFT,10/22/2020,1
MSFT,3/26/2019,1
MSFT,8/19/2019,1
MSFT,9/6/2019,1
MSFT,9/19/2019,1
MSFT,10/10/2019,1
MSFT,4/15/2020,1
MSFT,10/13/2020,1
MSFT,11/10/2020,1
MSFT,6/6/2019,1
MSFT,6/6/2019,1
MSFT,5/27/2020,1
MSFT,11/17/2020,1
Silver,2/6/2019,1
Silver,2/24/2019,1
Silver,3/21/2019,1
Silver,6/5/2019,1
Silver,7/17/2019,1
Silver,10/21/2019,1
Silver,10/25/2019,1
Silver,12/1/2019,1
Silver,12/19/2019,1
Silver,2/19/2020,1
Silver,4/1/2020,1
Silver,5/11/2020,1
Silver,6/25/2020,1
Silver,9/1/2020,1
Silver,10/15/2020,1
Silver,11/12/2020,1
Silver,6/20/2019,1
Silver,1/2/2020,1
Silver,2/24/2020,1
Silver,4/27/2020,1
Silver,12/2/2020,1
Silver,6/10/2019,1
Silver,11/1/2019,1
Silver,12/26/2019,1
Silver,2/20/2020,1
Silver,4/20/2020,1
Silver,4/22/2020,1
Silver,7/19/2019,1
Silver,1/27/2020,1
Silver,6/3/2020,1
Silver,6/26/2019,1
Silver,1/7/2020,1
Silver,5/24/2020,1
Silver,9/10/2019,1
TNX,3/1/2019,1
TNX,4/11/2019,1
TNX,7/15/2019,1
TNX,9/11/2019,1
TNX,10/17/2019,1
TNX,12/12/2019,1
TNX,3/26/2020,1
TNX,5/11/2020,1
TNX,8/13/2020,1
TNX,9/16/2020,1
TNX,10/6/2020,1
TNX,9/20/2019,1
