Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
MRNA,2272020,1,MRNA02272020,0.8992
MRNA,6182020,1,MRNA06182020,-0.2023
MRNA,7142020,1,MRNA07142020,0.9931
MRNA,9222020,1,MRNA09222020,0.9593
MRNA,11112020,1,MRNA11112020,0.9709
MRNA,3192019,1,MRNA03192019,
MRNA,8282019,1,MRNA08282019,
MRNA,10282019,1,MRNA10282019,
MRNA,1162020,1,MRNA01162020,
MRNA,2262020,1,MRNA02262020,-0.2263
MRNA,3192019,1,MRNA03192019,
MRNA,9052019,1,MRNA09052019,
MRNA,11112019,1,MRNA11112019,
MRNA,5302019,1,MRNA05302019,0
MRNA,9262019,1,MRNA09262019,
MRNA,5302019,1,MRNA05302019,0
MRNA,10172019,1,MRNA10172019,
MSFT,2132019,1,MSFT02132019,0.8622
MSFT,5292019,1,MSFT05292019,0.4939
MSFT,6112019,1,MSFT06112019,0.9012
MSFT,8282019,1,MSFT08282019,0.5423
MSFT,9062019,1,MSFT09062019,0.9881
MSFT,10152019,1,MSFT10152019,-0.7469
MSFT,4022020,1,MSFT04022020,0.9565
MSFT,6082020,1,MSFT06082020,0.9821
MSFT,8062020,1,MSFT08062020,-0.9001
MSFT,10022020,1,MSFT10022020,0.8674
MSFT,11122020,1,MSFT11122020,0.2023
MSFT,12082020,1,MSFT12082020,0.9773
MSFT,12162020,1,MSFT12162020,0.9805
MSFT,3262019,1,MSFT03262019,0.8481
MSFT,9242019,1,MSFT09242019,0.9075
MSFT,4232020,1,MSFT04232020,-0.8271
MSFT,10222020,1,MSFT10222020,0.3164
MSFT,3262019,1,MSFT03262019,0.8481
MSFT,8192019,1,MSFT08192019,0.9845
MSFT,9062019,1,MSFT09062019,0.9881
MSFT,9192019,1,MSFT09192019,0.9989
MSFT,10102019,1,MSFT10102019,0.9753
MSFT,4152020,1,MSFT04152020,0.9943
MSFT,10132020,1,MSFT10132020,0.1901
MSFT,11102020,1,MSFT11102020,0.9552
MSFT,6062019,1,MSFT06062019,0.25
MSFT,6062019,1,MSFT06062019,0.25
MSFT,5272020,1,MSFT05272020,-0.6597
MSFT,11172020,1,MSFT11172020,0.9808
Silver,2062019,1,Silver02062019,
Silver,2242019,1,Silver02242019,
Silver,3212019,1,Silver03212019,
Silver,6052019,1,Silver06052019,
Silver,7172019,1,Silver07172019,
Silver,10212019,1,Silver10212019,
Silver,10252019,1,Silver10252019,
Silver,12012019,1,Silver12012019,
Silver,12192019,1,Silver12192019,
Silver,2192020,1,Silver02192020,
Silver,4012020,1,Silver04012020,
Silver,5112020,1,Silver05112020,
Silver,6252020,1,Silver06252020,
Silver,9012020,1,Silver09012020,
Silver,10152020,1,Silver10152020,
Silver,11122020,1,Silver11122020,
Silver,6202019,1,Silver06202019,
Silver,1022020,1,Silver01022020,
Silver,2242020,1,Silver02242020,
Silver,4272020,1,Silver04272020,
Silver,12022020,1,Silver12022020,
Silver,6102019,1,Silver06102019,
Silver,11012019,1,Silver11012019,
Silver,12262019,1,Silver12262019,
Silver,2202020,1,Silver02202020,
Silver,4202020,1,Silver04202020,
Silver,4222020,1,Silver04222020,
Silver,7192019,1,Silver07192019,
Silver,1272020,1,Silver01272020,
Silver,6032020,1,Silver06032020,
Silver,6262019,1,Silver06262019,
Silver,1072020,1,Silver01072020,
Silver,5242020,1,Silver05242020,
Silver,9102019,1,Silver09102019,
TNX,3012019,1,TNX03012019,
TNX,4112019,1,TNX04112019,
TNX,7152019,1,TNX07152019,
TNX,9112019,1,TNX09112019,
TNX,10172019,1,TNX10172019,
TNX,12122019,1,TNX12122019,
TNX,3262020,1,TNX03262020,
TNX,5112020,1,TNX05112020,
TNX,8132020,1,TNX08132020,
TNX,9162020,1,TNX09162020,
TNX,10062020,1,TNX10062020,
TNX,9202019,1,TNX09202019,
TNX,10162019,1,TNX10162019,
TNX,6032020,1,TNX06032020,
TNX,10032019,1,TNX10032019,
TNX,6032020,1,TNX06032020,
TNX,11112019,1,TNX11112019,
TNX,12052019,1,TNX12052019,
TSLA,2132019,1,TSLA02132019,
TSLA,4052019,1,TSLA04052019,-0.8812
TSLA,6132019,1,TSLA06132019,0.1477
TSLA,9092019,1,TSLA09092019,-0.0919
TSLA,10112019,1,TSLA10112019,-0.8513
TSLA,12132019,1,TSLA12132019,-0.4404
TSLA,4062020,1,TSLA04062020,0.3169
TSLA,8172020,1,TSLA08172020,0.9902
TSLA,9232020,1,TSLA09232020,0.9926
TSLA,7012019,1,TSLA07012019,0.9447
TSLA,9132019,1,TSLA09132019,0.9255
TSLA,4202020,1,TSLA04202020,0.9212
TSLA,11122020,1,TSLA11122020,0.9157
TSLA,7052019,1,TSLA07052019,0.5706
TSLA,9262019,1,TSLA09262019,0.9787
TSLA,4292020,1,TSLA04292020,0.9903
TSLA,7302019,1,TSLA07302019,0.5434
TSLA,9162019,1,TSLA09162019,0.0511
TSLA,8262019,1,TSLA08262019,-0.9269
