,Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
363,AAPL,07222019,0,AAPL07222019,0.9915
364,AAPL,04072020,0,AAPL04072020,0.9587
365,AMZN,05152019,0,AMZN05152019,0.9534
366,AMZN,07302019,0,AMZN07302019,0.9474
367,AMZN,09252019,0,AMZN09252019,0.9998
368,AMZN,11152019,0,AMZN11152019,0.994
369,AMZN,12112019,0,AMZN12112019,0.9947
370,AMZN,01272020,0,AMZN01272020,0.9827
371,AMZN,02282020,0,AMZN02282020,0.8338
372,AMZN,05132020,0,AMZN05132020,0.9922
373,AMZN,07312020,0,AMZN07312020,0.9989
374,AMZN,09142020,0,AMZN09142020,0.999
375,AMZN,10272020,0,AMZN10272020,0.9997
376,AMZN,11172020,0,AMZN11172020,0.9993
377,AMZN,12152020,0,AMZN12152020,0.9981
378,AMZN,01122021,0,AMZN01122021,0.9829
379,AMZN,06042019,0,AMZN06042019,-0.7783
380,AMZN,08132019,0,AMZN08132019,0.7269
381,AMZN,12112019,0,AMZN12112019,0.9947
382,AMZN,03162020,0,AMZN03162020,0.9969
383,AMZN,09292020,0,AMZN09292020,0.999
384,AMZN,11162020,0,AMZN11162020,0.9666
385,AMZN,05292019,0,AMZN05292019,0.9928
386,AMZN,08052019,0,AMZN08052019,0.9762
387,AMZN,11182019,0,AMZN11182019,0.9778
388,AMZN,12112019,0,AMZN12112019,0.9947
389,AMZN,03052020,0,AMZN03052020,0.9274
390,AMZN,09172020,0,AMZN09172020,0.9981
391,AMZN,10282020,0,AMZN10282020,0.9885
392,AMZN,11172020,0,AMZN11172020,0.9993
393,AMZN,08152019,0,AMZN08152019,0.9929
394,AMZN,03252020,0,AMZN03252020,0.9929
395,AMZN,11182020,0,AMZN11182020,0.9901
396,AMZN,09112019,0,AMZN09112019,0.9794
397,AMZN,11182020,0,AMZN11182020,0.9901
398,AMZN,12112020,0,AMZN12112020,0.9701
399,BTC,03072019,0,BTC03072019,
400,BTC,06082019,0,BTC06082019,
401,BTC,07162019,0,BTC07162019,
402,BTC,08182019,0,BTC08182019,
403,BTC,09212019,0,BTC09212019,
404,BTC,10182019,0,BTC10182019,
405,BTC,11132019,0,BTC11132019,
406,BTC,12142019,0,BTC12142019,
407,BTC,02232020,0,BTC02232020,
408,BTC,05262020,0,BTC05262020,
409,BTC,06162020,0,BTC06162020,
410,BTC,07192020,0,BTC07192020,
411,BTC,08262020,0,BTC08262020,
412,BTC,09292020,0,BTC09292020,
413,BTC,10032020,0,BTC10032020,
414,BTC,07302019,0,BTC07302019,
415,BTC,08292019,0,BTC08292019,
416,BTC,11242019,0,BTC11242019,
417,BTC,03062020,0,BTC03062020,
418,BTC,06292020,0,BTC06292020,
419,BTC,09092020,0,BTC09092020,
420,BTC,07242019,0,BTC07242019,
421,BTC,08182019,0,BTC08182019,
422,BTC,09112019,0,BTC09112019,
423,BTC,11192019,0,BTC11192019,
424,BTC,02292020,0,BTC02292020,
425,BTC,06212020,0,BTC06212020,
426,BTC,06242020,0,BTC06242020,
427,BTC,09062020,0,BTC09062020,
428,BTC,09062019,0,BTC09062019,
429,BTC,03142020,0,BTC03142020,
430,BTC,09202019,0,BTC09202019,
431,BTC,03272020,0,BTC03272020,
432,BTC,10182020,0,BTC10182020,
433,BTC,10262019,0,BTC10262019,
434,BTC,03252020,0,BTC03252020,
